S_i,A_i
174110,373468
10136,56178
405141,889298
300975,38886
983565,382144
412467,161178
299228,278512
96041,91622
35135,570326
582777,489744
690010,122870
321250,317877
983848,984039
786186,314288
353874,94336
713843,387933
773835,736991
295091,697491
43044,973060
532033,364784
10869,968682
773255,70022
670287,887975
181240,945217
15770,385439
351742,476780
285359,692796
631812,494173
537045,814743
83496,627669
807377,529358
56366,221423
850923,329782
508809,681538
240863,609697
486046,976941
625699,536613
415225,374543
293538,169928
624713,690289
31795,440387
989055,68612
933551,64682
755076,78589
178743,56549
252913,915561
310263,720412
437102,773573
149768,465295
655528,473837
194701,477261
28383,650231
242946,881536
739922,727592
301555,246657
576112,579556
949033,83632
828774,914711
479892,15133
360250,476180
604420,934612
832005,695255
686999,93954
808571,209326
572597,232006
467115,381560
226485,53038
744019,75242
253058,211595
367485,916882
803495,504177
663633,12195
332049,776557
103187,49135
471681,956722
479698,548779
363280,749899
198970,372931
505869,648017
298246,986499
458739,509494
883203,12406
300435,893313
175151,867146
379611,333023
395960,568
326793,450834
623402,14219
136064,623094
300547,539237
124637,25917
977281,310447
350029,655396
45024,71467
432778,101041
268878,162264
484242,707746
578776,114619
337373,763617
650169,610807
108084,353811
279168,874521
485955,507832
624565,793019
498078,254194
108678,427934
285213,491492
582530,896831
38374,231615
67274,466183
502551,325921
678877,205289
817277,913295
953149,803649
143143,94140
104162,260948
538818,385772
995675,926871
648288,271185
83147,304676
557601,595970
286881,833270
853171,327377
182238,356726
106510,483230
712803,580366
382750,961836
822724,387523
630415,835578
646049,470391
684555,215629
199580,554157
251087,590410
556063,514893
108033,747242
324027,935192
364329,151603
7898,977997
975958,413312
827513,490477
346521,236908
580584,261539
371254,268879
903429,240994
669376,931692
240656,452658
906807,366874
386127,72612
696837,824794
291686,937741
210462,596685
830832,340390
534065,709894
916354,853474
630279,58074
390116,911485
544674,860241
526514,928501
758108,747240
440020,731752
985801,947182
335133,849080
776443,549673
383312,472102
243953,617352
26514,143395
652330,991009
892483,658179
913437,343633
312828,768648
262593,987085
635263,590108
300327,632770
983055,568078
479599,55321
554183,921453
160724,803932
83407,923256
918388,407594
203499,812589
574476,890700
530937,874020
875925,848610
102654,534588
531584,795776
642458,233619
627474,904992
464511,154361
476902,265578
145726,802381
261778,525541
979675,866538
190003,56534
725781,171472
772401,34224
698949,83463
853354,129192
958830,868183
721143,443963
288809,931229
325551,872816
953127,377952
388899,707004
579360,143671
107104,160270
780657,861955
178020,165130
474318,737413
487140,503579
14145,733479
888465,359016
553433,247946
109300,474676
480566,30393
315852,295028
393707,580131
515064,41274
732144,143129
650141,486266
251973,953334
150707,554511
58089,103545
211940,516950
339354,1962
249559,599533
584589,75596
380517,937066
316661,9362
948758,269855
440370,262479
455863,352231
733624,471875
980836,366751
682460,181725
749843,890219
496154,474533
571507,824664
944501,652229
719570,962257
113131,487749
141012,697023
134306,463569
845828,774965
467548,957587
806791,345489
552817,902020
757988,577727
292258,214087
328549,899486
819781,685888
538381,660731
321999,123013
443182,159721
701827,193389
364387,458776
181837,745987
614757,343000
144766,675471
208717,431817
591643,799825
396583,987218
644837,942328
111981,523393
909182,273088
860318,506232
964536,659563
953099,967261
121792,864430
643199,310487
901310,643776
462204,557243
687431,53339
905001,659380
175782,638745
829639,517021
177722,37353
147269,680747
913178,24141
703811,963409
108185,831097
704876,544862
434154,42505
637328,888293
528750,848423
237149,430469
320479,285732
226687,482159
80479,64186
356061,382939
888598,729054
90039,778255
747882,951220
236941,150498
638340,541210
124776,285778
435480,79231
80543,195933
76855,551829
382854,340385
869541,396867
904280,79147
2021,564543
14535,660436
595306,450211
617435,851621
756993,554366
703930,322896
255395,449390
121079,551866
152635,799537
833756,478047
951615,501059
871303,687861
499621,662665
309142,640343
54546,34454
998266,170637
627803,49746
159030,809692
942580,572854
646063,628513
324235,778696
59401,772429
741042,704596
96629,165616
582352,902046
891355,339588
40542,521785
173552,826277
659325,879176
133198,780426
908250,319441
239840,944944
746908,360056
252660,441777
266364,855732
355363,167081
231023,539893
862309,973018
582915,158737
687643,900049
213542,946421
149772,346595
182787,499765
115906,939771
255646,544639
540187,809255
406697,19545
433617,617083
99974,907439
713297,403270
352028,541565
243489,85849
9838,884167
412250,630172
304823,674964
987775,803419
47550,892998
585782,384611
274094,91807
840299,63388
920961,9211
665885,866248
976422,15727
953170,814625
134650,59432
735697,559701
570838,376425
520169,88197
885672,228718
4576,926183
576371,496024
726273,736808
163830,335584
68369,36655
668183,315078
739766,419208
848080,151130
4953,951560
342287,208750
651476,662222
228907,98480
229376,146921
434768,968708
182567,708818
216091,871514
237200,843089
982596,436230
200828,230610
489100,445739
500444,556494
558947,645728
81749,308477
930007,948073
576878,80609
100477,769640
263709,122259
412894,117828
858649,712870
891530,204246
370973,104302
677567,96665
618744,875793
225029,808709
477296,224158
101377,924058
971692,161387
514429,929370
25083,294963
123737,420271
103444,772184
640278,239028
452142,129250
312473,560115
181482,789014
103166,528957
96245,805589
664021,667820
555298,453268
195077,413870
169860,728437
330802,344725
827714,571920
778799,276200
62698,918942
99141,468029
534694,865319
584398,706742
93630,819594
486615,851453
815986,634536
706155,863374
416907,198893
202233,622905
65717,189172
708075,448388
700898,323537
324683,444414
562485,896432
223296,620987
733708,120962
933679,882825
637457,815111
714718,460183
586220,956146
631556,512139
137572,183428
375615,801886
85331,614040
875639,766174
411047,395775
315905,699910
461020,284288
418219,682433
898478,16889
350469,346154
32849,717792
