S_i,A_i
16879,726159
702961,25631
70794,753750
18191,553016
379221,584630
220785,750162
122420,969443
945885,832180
829712,893065
357155,464918
753170,443035
70653,150695
59256,245990
268434,734964
489016,302269
759545,527440
739815,503789
486625,943716
674684,134455
673734,127435
509009,890124
856720,893904
858815,130531
588186,418120
736054,233492
355916,257576
506068,946058
676987,933018
987088,99667
519389,497175
665052,493957
4130,982722
165083,824755
121290,956848
688855,210854
103867,277058
909655,282984
846638,943216
783802,809162
14781,108057
702613,578416
544632,793428
647070,632233
797099,420574
74671,475351
392173,724653
103344,807368
140876,867052
616944,405264
222968,310971
404796,541500
548524,369884
897135,338581
908911,676038
133558,894932
345131,968469
637068,37632
545312,821887
81052,966355
785302,613217
198646,846867
915747,284903
259084,339857
683107,885978
188591,52084
142808,56025
999933,914766
72725,430623
363710,25036
123902,372075
745295,128941
465838,2154
977922,577322
248132,546806
135177,870152
904830,295497
103809,710586
119067,243845
444843,558312
276143,861964
268379,494920
201251,701790
527148,164516
783085,985116
186044,828554
152153,450311
864517,298389
422847,377863
514491,702933
261445,13064
226371,258460
802283,96943
682440,200556
412564,319676
633932,535967
109133,471463
738824,143694
230057,425191
564727,102557
494471,574624
776315,678954
562487,638010
242801,355181
805288,513226
249382,992955
175299,609770
389173,621818
638603,706369
589668,433288
652775,908589
349647,824541
419658,438296
824044,987972
882989,638332
332221,633809
88360,787530
220838,575654
194481,788545
532238,457032
619209,383734
414522,63141
918639,259713
284187,984132
713448,459003
225751,473985
217556,438084
396377,368325
861704,614721
751514,60154
627915,545243
532473,392916
163864,150798
28582,868228
424467,452101
340149,447811
532923,739557
897177,487955
80949,565559
128961,516141
772435,760948
405120,592588
434031,825160
455953,76812
108002,846141
450890,899553
271795,297343
668484,972683
182224,298872
558007,857540
886629,365960
946447,573137
414682,309773
499611,302336
447731,977892
286581,749309
511766,887083
199313,845787
165629,932632
961365,948860
873717,149484
481058,665741
986154,737277
173944,1382
89388,830520
292388,70764
673403,248544
751560,344935
84374,834280
22592,860998
23556,977217
661518,239673
864399,909420
878274,928509
930868,366913
664322,293702
636231,102740
83473,602988
295225,309748
621027,879918
540526,180412
385923,379941
195654,759518
149035,382017
402085,286066
641552,585555
107288,437672
799901,517194
208787,249751
798932,733613
588447,716837
214829,899794
425957,907499
309050,893466
670661,44579
110705,156163
805483,319534
451508,397601
748242,524085
642305,852302
399160,821135
464250,761402
474587,363609
313099,816881
422592,968391
466716,321526
877545,978332
360514,83496
378605,759929
283294,806442
420990,685792
877540,29343
510258,545803
596790,956649
502147,485441
850405,573743
395388,408547
361322,308249
154524,385722
379935,758122
461400,510010
119173,663472
445615,688758
179236,460785
788550,885318
700104,224970
578973,857880
300680,990513
992527,575506
758844,241821
675440,193839
375293,422861
289550,589725
575770,696168
999056,793519
458906,412377
947022,665066
122665,761626
92095,136484
318467,223784
557743,594406
134997,676868
325371,100760
708084,657886
331246,803780
981499,879936
674852,304348
246401,256667
114442,267669
283524,838056
209932,324627
69218,489703
576856,424925
821344,728014
133297,59748
767044,373879
327766,555464
136540,589584
596038,827555
988503,772348
403159,630253
14504,476948
17414,758005
172887,559667
974096,682310
892598,437639
113019,45070
371134,272060
852173,116788
774000,793003
274447,391317
262684,133636
217626,636342
573683,451503
948276,336042
818002,178095
881249,478020
827544,972864
275971,599415
603694,689511
165450,715148
32869,78655
12249,312700
106966,840641
426104,279209
118383,434560
11138,884150
431475,525931
164910,214800
487372,820779
193721,257962
547946,626331
513012,460030
38377,659072
321010,424174
796599,373934
343986,569119
650637,320153
549617,504612
411816,128229
635449,971470
429697,504321
96875,261716
395860,559031
849798,721369
314116,36473
209747,833255
944561,508063
306912,936355
824713,3943
204033,482431
699542,75642
291712,655050
666105,193056
330958,900211
472887,813295
818827,164311
644140,638865
106569,636477
155401,848286
450524,789119
183466,40465
79650,350795
77200,787157
728518,126057
117807,778861
523745,898339
501787,871746
335591,410841
731163,11712
403932,279612
345336,954278
697281,303496
556946,625774
537507,457277
356962,744068
95383,830044
102432,648598
539282,117939
724141,936955
637864,66349
588326,548470
516060,617478
456524,588372
822834,292309
756979,366528
389075,66954
497404,491789
945855,443584
340471,569260
257851,20943
375209,277291
452545,842350
446564,157465
980751,492384
91169,177346
576820,279231
36303,560880
826183,878723
133998,542780
528616,453691
660781,285767
894395,663666
967256,79604
174579,153479
212244,173740
189785,196248
107358,489819
402552,150882
902173,106572
243395,644566
362874,514487
248875,381205
836405,61750
319601,397775
485586,347662
415696,883682
198410,731064
872711,810953
442547,335047
320629,322298
616605,677572
119800,828100
856680,982367
649398,305681
53502,880960
909282,729485
302970,636367
286542,975865
929184,739103
311512,504846
874494,849021
38611,84876
347605,358544
76602,93836
145469,685632
827116,122384
576479,589314
217255,215247
832590,259524
605382,565853
27409,58304
707658,394644
123214,638108
917595,156831
491525,651850
648757,948711
802513,472990
43651,98080
183382,56684
758217,134776
628897,907018
175597,862145
289407,376925
454617,76133
616529,358315
758172,823182
587579,120456
312012,931480
516530,853704
297463,147109
834937,624024
441030,800233
430495,896448
409397,901802
836970,452762
610054,259660
862092,124781
939694,148713
252085,859489
101457,402045
72587,968377
555446,236807
222123,474535
724336,200183
935377,20824
709648,790857
262521,108976
293328,183308
349359,149690
195119,596689
641764,29072
662077,244500
259293,631336
519084,388847
792922,490230
405275,9651
554134,661507
104689,175050
190401,361108
777838,74758
491850,976051
216990,30009
78546,285499
79870,751329
266270,76383
309326,380775
11144,332628
396125,682205
661985,702603
108244,200299
206619,26498
909617,988061
67932,113753
474605,455950
503643,842466
653003,280059
502486,259189
658825,636223
789360,293014
317896,656652
897358,90885
841745,527900
6806,240268
218856,242194
640841,87040
594789,61093
173900,419228
872288,26737
639027,369217
450205,210573
187618,574248
488903,324351
285043,222212
32069,781177
329315,411447
934447,373863
548810,381684
474197,997942
409704,622219
667105,747731
595261,412469
46427,680576
1805,225943
695336,560843
762458,763372
