S_i,A_i
863356,634336
57219,575628
783933,440076
927156,321098
378082,976847
235333,300342
121517,17610
758033,489558
110311,101834
220397,363594
677207,334515
208051,115835
395509,641486
892949,224846
517287,458501
105864,227882
915231,25360
37468,715056
3340,673611
430748,551378
100328,259032
430200,757823
673313,145522
955,193339
211441,817869
556476,320776
486883,103002
586112,85859
178616,114620
622264,939324
920799,314398
117197,602520
632887,651793
522758,562824
526953,265193
784083,547910
190894,509372
314887,737436
602126,911584
931308,403466
89078,604341
600413,26389
578256,447874
989737,595682
90118,445428
596733,427439
720068,100959
759896,802051
558107,157883
154523,857804
286270,157397
999626,377515
716948,31791
961536,307072
173761,335082
699055,491347
938276,590220
328146,269863
199935,14876
991263,989798
374162,850285
669596,136345
50738,452238
388619,123723
450897,644621
765414,262576
277678,178452
476861,555016
148544,366991
717409,177959
22646,34121
983063,700747
156416,673697
876574,532472
517879,19038
439062,396801
837599,249108
275165,779636
80024,181998
256761,281241
596994,695674
742460,660654
917608,645734
294705,119498
116087,862642
668171,818858
140648,817031
285702,736372
248305,183953
282070,173537
781206,216193
532390,930338
612299,642002
215786,160248
479438,476626
623162,947531
114907,532735
830499,486129
752399,274929
835096,313950
574677,54853
391895,895424
928429,5089
639781,349359
248794,337312
82153,558564
69908,435690
778998,435474
310957,841273
306586,642382
921202,77725
520442,320866
313099,717569
913176,683362
512820,351232
205925,565154
874283,346328
178043,173862
500209,245665
30415,122739
845223,302605
756436,947655
86302,866951
726224,667369
887819,507308
380465,993375
542350,786276
810357,938205
973078,613412
328467,614365
796560,703989
451778,807937
348755,520792
488104,823627
979405,558473
351325,736445
13612,754558
748548,138504
445609,685898
662937,849934
182729,855768
390854,793881
380067,905843
321149,322788
83646,761872
834253,632756
299216,661903
440575,190490
76457,872247
804088,646221
721566,693151
482275,987012
284542,281069
643286,270660
183451,802759
281559,453596
631907,38787
113180,218698
246836,75591
67927,458289
428877,830384
327275,221036
404311,582819
833225,240214
391658,415526
963198,285130
591018,430305
307056,360049
977979,689450
499174,273553
772492,886717
557342,965533
971898,92838
687726,600233
581605,596464
260553,740620
205424,309023
337064,220104
168240,869600
196287,730127
782868,631357
230220,496177
318971,599317
823633,623848
537809,180855
932658,99413
223492,551758
585874,8654
300437,829563
756890,889123
828479,911363
508669,548064
394403,953062
767514,328081
88059,827758
139746,429641
262689,268788
285756,675608
999941,286200
476051,775717
589899,430219
640982,567783
696248,376489
752268,74829
507085,8072
957227,561985
265011,718555
589655,312067
42766,52751
373487,764341
250506,921175
241861,892047
308867,363927
850160,947242
825153,295716
568014,742399
729195,905448
727436,323949
916771,699266
534457,965990
702672,282092
744203,924294
523837,954377
924835,488403
975707,806955
640857,640520
206844,494988
269795,56111
312314,447680
845834,992506
224075,875913
375040,246819
149307,252519
239113,412003
782601,391861
90898,287767
126022,429771
56724,31250
484564,265327
747499,475685
857294,212769
215191,130881
213114,54938
826416,669404
767856,923149
610015,632472
472769,181938
859028,213568
537273,633382
419816,822476
568382,719739
332552,208319
576972,83600
5755,386614
288794,466479
46234,685739
88663,25552
255051,55392
683814,74620
336800,206842
967334,951481
3925,360119
767999,225185
536287,987207
1684,614884
932091,197406
675798,646293
386429,647876
398228,526742
139129,275308
299849,217869
186447,552751
832067,511454
202908,790367
449637,338604
970005,726058
561806,432139
579580,753838
568870,448551
421431,925629
468720,384317
43515,338414
354372,761817
202956,288840
350502,996301
636328,451916
376223,377797
175864,830563
409771,587240
426749,604627
802145,947723
217721,814909
289308,239478
271168,621314
733852,987893
562916,96650
523659,370474
904283,315727
920041,307210
910055,589305
356492,453444
497333,619324
928888,168745
555416,660200
348969,800775
120156,273710
418026,917509
394748,206881
918145,73558
906369,414800
282991,753510
418755,818997
434260,72236
276954,676029
155210,87091
710481,358896
106646,961150
522065,335631
671252,492280
896401,870719
69963,566600
764793,845719
1579,161154
671625,897697
798799,736725
569376,556457
564285,808833
774829,818335
909649,812786
424548,326831
304102,496073
496154,140421
542014,739850
864253,444754
435747,112480
886247,486585
264950,793998
469034,313926
9793,111255
590122,76502
762972,870629
321807,712301
650985,223643
397082,669908
324576,667226
767630,584465
916409,458245
407989,653538
28544,967430
119537,458648
801038,937595
244107,639683
990404,617532
554997,274282
633675,498346
954746,340727
745941,455245
344569,160845
505892,845581
437755,496133
599756,163081
94032,412487
628923,557122
503274,347097
411404,88257
565264,378750
866712,699325
138716,488206
858750,343123
553295,11191
821181,147606
391857,313341
709172,937277
70300,609328
502421,44842
390720,569731
978891,650720
967634,524873
231039,115956
607587,560747
284442,515039
9837,53798
691299,711796
26549,427642
858112,743414
826344,673389
237355,768533
604820,828412
322644,202561
270476,556001
385592,841931
497878,484043
