S_i,A_i
812572,315274
891254,500603
931639,395761
636010,119303
739881,252277
787237,90072
884024,887610
392689,930136
474783,734036
177919,78102
634014,268734
418601,27435
820084,224342
428734,727480
119852,658706
66958,866889
89613,250402
824814,384597
5659,23411
171153,931384
158123,212165
381214,234707
347572,261466
359871,540573
799933,892163
691177,984668
924848,317339
295864,586599
40552,507702
337332,397494
236218,908193
324677,745823
461463,486531
195493,645277
959435,849084
332156,386114
902209,548110
376748,929453
822838,1620
935444,176176
490940,885738
218217,162352
113258,329350
535142,571020
215881,763842
529221,236482
365463,560425
682055,348199
421538,801093
900651,664175
250521,108611
439765,622995
862352,246399
196123,276610
879249,835521
47046,673673
50649,341064
469684,641763
805218,662732
690171,462391
812237,192550
252398,20268
790417,245638
531637,746267
64094,495919
939129,883145
904585,859075
104667,592882
759611,923451
502700,992836
705362,540085
324187,882957
403534,146698
693357,568872
389959,290336
40828,406005
272961,190824
25779,783147
674857,502171
270914,562716
217050,386344
617192,334884
16446,34638
516566,608810
386116,888692
718547,131635
244377,643984
711767,635659
38876,990547
954057,939588
113240,4465
912416,884424
913027,801457
561746,656453
308627,155079
801129,856932
145981,626376
249524,386635
415833,375165
646768,614223
260269,484068
364672,271685
480275,990639
937998,737693
724497,715882
211640,392958
632717,955447
216546,374353
99307,312956
543311,402496
159538,260011
37380,412115
122695,880871
431384,519480
509668,151831
149595,665
300805,810612
767493,565193
845589,415814
249513,287572
490213,689914
828418,313558
683717,405026
582279,517090
959461,762298
891399,751182
519249,559858
275340,316386
466379,273976
419433,651853
930512,980795
569438,347205
567333,720191
310725,119487
179432,562159
41009,670449
98717,516600
672481,757199
714645,969815
618695,995606
694884,975748
58411,270798
881883,288656
226644,362193
411794,426436
362717,738356
290657,334118
889921,682220
984579,962918
216683,137294
817823,299466
499915,810521
27547,871881
699864,734822
607730,911284
998037,809598
855299,397689
215599,471997
313776,255178
501061,823246
88745,903121
939848,30327
739232,364472
742143,660365
837413,803043
723327,620212
972141,522296
135589,842553
349362,45900
627760,210140
295225,920229
431156,226720
723370,530847
27174,545939
144863,193384
600088,579014
843442,676194
537482,639132
747606,219431
984009,10419
282860,358985
474704,798247
309265,229909
982705,971134
432526,89761
362555,711669
727336,331300
897333,254368
911848,479009
39962,416997
740327,619381
823088,886583
181882,976103
730743,383227
169400,536143
361495,45603
873886,435041
578093,902169
50075,271571
842192,189712
556876,964481
423192,353739
12120,357837
459577,527269
659270,256787
345678,927312
802702,490059
626088,153743
441529,733466
104886,406483
750224,909021
219366,505251
624448,176046
977667,353844
92999,422408
734847,934189
793588,577068
510570,694722
559934,305359
292396,710630
339525,930266
486471,162143
662885,624665
395680,399149
954074,313060
81670,603727
595790,572601
329241,513966
339954,85383
475223,81858
554484,72008
648115,807541
910630,278408
280567,811130
196783,497862
434831,443962
863835,367957
962687,455277
351866,465435
943851,891302
693603,180123
306672,932130
181759,451754
803100,12255
393738,698584
859785,285279
756838,151016
773164,729570
648542,867627
625635,36428
615513,519871
57420,531319
343292,364006
45509,558634
474870,461568
800281,162761
576754,974509
226019,133490
440784,775949
525437,606778
567869,110132
225544,202951
313486,166954
122426,791172
222436,519010
256653,569113
506420,702375
758828,832796
414105,810752
119273,125912
92421,557686
632819,219388
720834,605976
161036,378612
676987,95084
755605,342189
388189,767853
456325,801013
584094,583711
881116,387755
294903,953897
336320,677551
789555,700541
465507,876991
805451,487847
443985,166322
84463,478698
955792,527549
671542,243817
653553,560328
629473,880999
583350,767510
260101,269634
223036,947435
705651,915597
772662,792122
144352,756088
791874,812033
808551,356686
145336,117126
453862,284197
632107,907386
614086,986511
439596,407528
252537,30825
839481,547006
294422,589846
254311,456622
85762,551191
78667,715100
937631,36250
68403,860482
614907,983460
338982,742497
825044,446704
138091,452799
82795,55588
169828,198070
688936,815568
629284,288327
47040,515150
