S_i,A_i
232732,77979
563031,832680
252732,451517
503833,359736
43008,540710
453788,688624
650862,892156
604020,309323
612921,831014
313960,676412
206521,503272
17221,910788
87782,213544
262369,998544
561699,905482
554979,469969
826351,441456
457989,544212
847091,25878
91000,454435
588864,770874
502809,480952
933341,57598
340961,819920
966757,961267
369886,311582
197510,68234
420568,316933
386184,508109
172557,626967
331274,617387
497542,709699
489765,133129
335969,863235
909501,384528
915730,80182
869,812023
955235,873933
619911,254971
139650,554658
571292,863552
866507,20380
568230,207569
774425,883326
764732,41588
514562,703956
779709,859532
609364,698414
639929,893888
41169,422148
928529,328382
450519,507350
539793,549664
105378,507841
929816,274874
422769,125335
220930,613665
337438,735006
783189,902063
392830,193630
843736,551989
121342,38430
623510,962922
853647,840910
882983,703273
967433,50869
756527,747458
376783,205473
343883,770180
140018,140399
517290,72586
727578,265091
898806,91158
723659,607685
788403,887277
999743,531227
344649,660241
534048,690264
208430,981389
915525,807513
552209,529828
933037,175273
953841,891527
852073,290548
83674,6369
523412,432523
244610,41377
178619,133991
249794,753702
38222,327045
997839,274374
909672,63847
345072,623551
446459,836149
757955,731629
179656,288759
861363,162097
630310,894228
73170,389426
209484,707758
3739,670020
931660,952128
224624,250223
640796,100173
153767,100843
760430,868484
734593,112117
273466,952491
38453,128383
616155,600687
827574,224162
284193,67846
603748,298298
345955,953562
958249,844392
771691,205153
178751,746132
267724,301354
945180,600253
924522,226151
707542,432612
15796,457421
717068,861642
971657,451422
514239,705861
718384,902783
685463,881125
607568,925859
962956,150952
204393,753818
467811,721924
228830,794203
873691,531135
701990,344670
770691,370857
103912,727038
11177,281139
415015,461702
61559,840986
604792,277383
239821,458025
362141,728481
455791,473976
590851,45944
517557,358784
330804,387289
219946,206151
831468,606389
71918,146612
512947,834027
892889,172021
209407,478661
746356,527665
881301,195950
647480,776011
30844,630688
123405,599086
425917,506037
310387,88586
47090,192324
131781,152415
841682,942742
465157,673057
765395,912581
722043,596840
123724,142541
2133,595873
560741,517847
639918,493804
192817,652190
425811,33598
924054,190184
810288,740197
573693,807980
93064,276930
595523,175012
994309,917675
799323,133111
493880,914063
614121,661905
673841,580786
849264,857485
29900,927411
326534,568152
914903,196443
239965,58641
182052,193501
442740,370494
781666,785026
477599,573713
34480,718816
202372,41122
639266,589388
50827,375885
620867,106798
291473,417249
148294,310683
429046,6030
683673,595213
357079,412929
412326,547878
90095,907789
488648,286161
586004,929232
927872,816720
587512,474268
109846,641183
860916,295582
594752,56874
634216,179363
670632,282009
573751,911257
891251,125476
800960,329167
971954,243524
7922,244841
163384,8498
747259,307497
200162,366935
113961,894350
706421,314134
52920,825103
569716,184975
648188,826297
519683,831382
150570,683077
750532,827213
239336,865430
482221,841374
437598,164613
742214,217516
684814,542176
218764,462617
510041,794445
749055,670069
469228,137111
774086,692906
695020,24573
955659,382385
22858,506390
761325,866183
527230,860911
831705,688868
534701,912595
386932,381852
585149,173059
655033,978964
873047,838851
233514,178126
752887,336261
257963,817972
923682,189778
