S_i,A_i
285958,970579
240118,95347
342705,879359
960002,962831
212986,481357
302636,21003
480559,168329
796534,800549
753833,599136
260951,685282
685184,616583
824862,58192
851026,730007
490665,839611
46408,86634
629949,693060
182019,333800
301394,344250
130693,628041
601007,464717
18060,969274
9167,816695
224196,977629
653908,937903
876378,432
125453,827313
720991,472651
712571,745386
867868,924385
783637,917256
75291,213646
511420,994876
570140,626788
741009,30225
726570,702894
677376,52142
8738,514279
204198,726899
916949,916742
650302,537998
893858,656814
423927,867470
860236,78211
356160,708016
160775,844331
273611,793546
696907,843348
660827,691569
459043,727661
518240,203339
987466,636895
832453,514071
550769,320652
532712,806076
132616,596969
810066,506565
437903,239116
620499,406685
562685,10547
654816,606913
286771,525189
227258,784676
807667,446220
856686,401426
131816,189362
379479,239782
436057,148909
967638,178646
663191,610988
213419,7781
406456,379057
776818,509775
564462,721768
518836,10157
367254,904063
777377,703870
268541,542811
220770,360182
962976,572886
680781,272698
266951,942840
204988,156532
252135,559338
282781,229382
931205,602224
173409,427070
675444,974175
217561,398973
557664,34491
940475,874892
151839,110359
882672,599838
605131,376866
303238,690254
216284,258716
976146,400228
41590,866620
6836,220905
147670,562852
459176,16730
936103,436885
764987,190160
426183,413486
708897,910639
683971,129913
30524,324124
986552,496105
693042,819438
854596,400212
577369,139641
965039,187398
918873,781685
3171,262478
7220,412363
43464,59692
826031,931796
599846,310581
601666,735729
172699,904852
35384,129156
407246,432959
453819,905309
419766,399850
862257,316751
854801,19478
529637,181894
176870,432939
917582,417192
970401,722478
592702,401251
726546,414613
699552,82987
726236,152506
231088,782160
302948,605076
487594,342949
943942,348608
867335,196496
930154,641220
828599,407674
400285,455003
118431,683738
478357,637729
34222,284335
960787,608289
199457,760746
273519,820575
805691,464823
415174,485826
870835,145306
802100,951781
683132,490814
91745,9459
948917,298280
867766,182838
379096,149508
470463,213976
749378,640844
971997,905278
461198,865328
848975,342010
836951,256114
681658,128664
279473,729546
62952,963716
547063,290589
871747,796337
733958,688834
251028,704387
23876,56617
431486,360045
1337,886926
517954,626639
793724,456712
751216,16706
390536,104360
922802,357032
551857,605766
466116,926632
652729,71571
17674,401718
429400,668157
142693,818400
569338,864721
428697,867424
542238,497160
939752,274134
627693,195668
728059,611096
984441,749493
594521,129657
618035,708733
214013,346455
745401,639015
769197,217861
658188,74405
331857,711359
425576,365548
858507,157500
268646,747490
623670,863744
25636,664625
655034,737476
358870,228957
830297,153377
34819,267682
641478,893901
232379,345004
797930,738211
210241,440477
478238,137726
27990,888111
540080,406575
461177,279463
390235,472818
603698,747609
314801,866347
838534,151036
951404,226777
732756,870928
344575,340461
753032,762638
146003,204175
857862,295911
509987,914904
70736,437883
372631,13450
206989,662079
822041,371263
180992,979858
124476,686239
801705,958566
72291,746398
127365,480200
256385,48835
52804,754674
244188,501970
130938,570141
38188,166560
402811,175618
101394,182166
346663,435948
64052,288146
265414,863547
965627,356382
638091,357182
534137,147465
995418,133153
166841,53638
953043,778840
30465,742718
110131,353791
143256,124744
758527,770566
200660,268404
83833,452903
542799,489980
121264,157454
717538,949882
702823,406940
702602,71499
973005,952835
918855,769793
54403,481746
467622,495856
425888,437636
909574,733340
547950,154830
950194,505942
360281,108529
798437,124817
431936,876811
263039,331028
427648,186523
497358,303641
855683,982377
64638,265281
256087,67975
554739,534548
482311,613531
283122,65539
363214,49600
98495,726255
221854,107504
853207,256016
489828,483105
558294,192394
776580,360397
267429,513513
824129,535732
238434,689747
368183,269561
417630,477140
329879,581542
479323,441429
224670,485180
921758,100164
331731,916098
831967,180576
651426,16610
210380,147923
314595,397592
266471,286651
525692,906046
906079,268230
534382,360186
305583,802437
276245,967111
576859,940428
294606,32145
119477,772989
562180,568318
209337,391462
589889,329242
842588,265534
815516,658529
178767,45027
236293,932373
584291,429238
611383,278441
944079,478902
505601,744062
180882,80071
396526,170809
892904,543260
436161,204627
268498,615140
295875,864928
120852,989508
883633,183264
391083,947120
135886,940984
704855,891556
