S_i,A_i
60562,554425
198209,597755
372142,155738
51128,694339
742330,734260
928942,852489
402081,9518
62879,364340
235495,813134
988406,569256
636285,91968
894051,941955
593663,21482
179997,441634
829520,304153
910256,315888
585657,252804
245694,583006
567919,963008
929408,734350
7692,931325
969878,892718
294085,866808
939854,950286
125509,556430
561128,700750
588056,89077
582397,833411
565516,492123
41021,275936
447068,237830
29152,360301
423643,986928
942510,62897
553749,199045
760307,570275
675594,490393
355922,875349
490347,47095
725765,765994
706070,396489
64476,759234
303328,424801
555458,951412
338745,936209
68362,315802
871176,127525
619195,771513
258527,148114
707135,788531
729654,519024
325628,422511
222695,426705
241900,455713
443504,834377
572134,128713
777178,991632
980627,801941
45767,746757
895753,96366
738407,849803
960968,619530
727365,860682
248139,873081
464136,925261
830484,420807
748557,357868
277270,353670
199879,611830
450402,755866
461705,202107
429615,374496
295256,557809
519719,649024
47296,954818
527108,326217
915615,68548
509838,562355
835904,332541
609603,998185
738615,366156
526164,316620
611910,68621
781138,831678
733198,306077
380635,8445
453609,580553
617502,330849
569677,535218
457287,484981
615208,719946
185681,844063
962407,132444
201399,134244
154007,434932
936557,623769
181449,428930
554256,651725
636313,632078
710854,209667
126359,348949
522404,22428
543789,350625
711932,146865
404258,115009
385841,677964
102614,406962
78261,487038
92754,137672
441555,11827
229619,937587
120613,601754
502456,570239
800373,897898
69713,133981
63671,495074
940341,642866
352924,577290
521071,822120
874127,250829
479696,612531
502544,871086
928150,221659
918148,59818
571631,489446
886178,730429
622880,458237
63020,814311
741152,207729
898371,207094
733085,625910
263524,434524
267350,588573
378125,573873
583006,528534
480078,721697
924485,914939
637139,420430
619026,316931
739666,704248
404812,886268
730647,766929
782559,465185
368208,617935
368947,518384
985262,480353
547409,116870
340702,745120
160996,355781
242336,163440
46569,94913
458766,890244
405845,969384
406173,378654
620700,764881
516177,748420
753843,925579
928641,120609
315824,831816
65783,643540
368769,960703
344753,388449
12326,305219
914636,938221
900644,297778
463941,620005
130307,873747
674723,610643
802137,704877
49881,649296
266545,826125
661540,635682
77069,538983
323325,729611
52501,266702
82395,922492
519805,148446
850929,469871
183186,814047
233719,578185
179123,103283
81992,721921
349870,444892
158639,970047
436410,642871
98992,13250
322191,42332
153084,212449
590382,222589
129262,97934
555687,793506
209973,838492
302480,394609
323054,682520
736258,8641
817626,670915
326974,407575
879604,727076
233122,842716
426069,272866
629219,126356
867092,259211
976519,775511
244709,467995
930893,55940
650298,850856
228684,701238
467187,88159
980615,356703
738108,882505
620345,330386
748385,380280
473680,192378
205768,175925
120062,363086
268525,247928
725328,4624
742456,936272
877144,701613
531475,179432
902378,939641
291032,253823
197465,887512
436671,467124
610907,749072
416460,446473
395426,716462
142181,278557
380837,155774
925601,203216
805492,420965
889831,508297
180748,685784
474919,540776
915491,76181
66471,628409
793917,864937
837235,938602
255771,905648
841502,661545
165437,812605
694144,2232
902565,612201
71463,705584
387287,920714
832609,489081
367917,902758
612600,439015
200387,363536
466620,542928
952203,652340
431658,128301
806760,871024
419344,719260
896726,495954
226080,511550
147479,382612
496121,952181
325028,411316
859655,219174
589766,779105
224258,578254
73551,32876
973861,906983
995677,569490
233542,551196
439099,958107
54597,113186
972473,36223
516036,75574
241582,224464
653538,132962
57967,172217
434925,326151
423015,866585
275314,798585
597133,151286
350089,223997
576457,769897
650961,614449
183290,856569
862384,516314
450115,181100
807226,2491
491300,617772
97121,194240
668962,754875
814193,121049
9655,610691
215425,137810
910657,510717
849027,50843
347753,112664
144562,661514
465553,250953
638951,529863
282584,73600
959669,858448
356888,443525
457586,199858
205696,360014
245702,401884
76048,527052
925207,386907
744409,316408
479929,788632
672271,7152
346243,649819
731151,404693
511229,288279
308575,392860
187616,12953
366297,649572
749624,877312
487066,724011
493236,670763
951228,654601
459936,983997
980404,574304
459274,951720
522071,272014
414552,645169
10970,767713
59467,860484
494615,206933
959350,609930
610206,4565
838907,532998
758185,167418
570549,55949
103878,5590
241852,356615
361914,549929
829310,112901
293092,52172
870701,953530
827971,99807
143666,146593
443355,828485
125282,432391
893088,40513
372309,84204
430972,49240
429109,606132
961712,440796
39639,804120
230679,186861
859189,883567
