S_i,A_i
183336,619445
677085,517616
381784,788108
810319,85437
934785,635954
379873,270147
433582,246923
595856,177789
774018,604157
357682,478274
979627,708585
49783,102402
69097,455718
868125,284494
495747,89645
27112,578963
651603,333584
729005,495685
428004,211982
3020,153870
985804,667819
380400,318888
699352,52128
645434,649906
323944,622303
565129,855324
239522,903663
176296,971539
749333,475009
475830,614174
192735,620962
856773,429847
531916,18509
309896,452283
917693,529183
204796,142757
359730,346480
557333,427590
183123,192052
158686,637982
33116,515112
396882,325801
322605,498697
924472,235149
797358,765555
639462,688411
465113,155239
456208,628729
969179,532403
990341,889742
340665,18872
713179,847304
683897,625900
220437,217783
669943,451225
931555,735757
699316,436426
357047,941602
946942,214021
988736,540553
511031,827025
442234,880849
623928,537468
748365,130588
229988,127930
601567,48779
98252,524684
944779,488019
956393,509348
640838,77052
639852,396625
394886,520649
65447,208595
552147,511492
564276,327433
429955,182035
697919,639038
461068,25814
175044,483162
346971,789824
965384,713169
578919,130982
575594,781546
107958,548036
216001,442545
680785,151745
866185,151091
91408,923012
130978,72653
863452,256063
807224,502749
279435,681912
37777,475161
134827,905367
29707,310025
859232,40694
58711,902517
432795,100598
579103,921700
200363,238835
632822,1327
732230,907349
721261,124466
934192,620047
248066,876486
470100,233529
199552,865181
437364,710049
458598,899702
804844,943922
836526,843811
620120,394268
63102,362936
416841,882685
4101,676174
961891,373280
718487,70377
509302,856202
550075,764134
87013,773765
529866,232125
793666,712392
909220,677843
132635,372472
733537,76107
315464,328552
610049,992800
963811,277241
298925,98480
739714,749637
918863,888119
22404,520494
636223,122465
732535,821217
661297,138819
159980,584805
783911,976165
468470,470898
927720,418736
148642,539892
344155,123149
419314,836561
989322,846813
285863,53931
640415,239851
71361,492706
953960,215943
761157,43810
962629,789295
116929,316303
401428,788255
751054,654623
114446,278183
257406,729275
873963,775282
32064,219873
12655,777179
275338,956946
594937,107263
28611,515063
451212,790034
43761,242360
813597,453878
631500,782824
587313,599903
174622,782761
333280,540519
153546,551694
231844,474350
630699,387648
