S_i,A_i
28204,164955
117998,112228
657408,696267
889977,744626
853319,494336
40282,952320
69547,994883
538239,163094
800754,521664
951588,895302
259203,716495
238340,351493
984883,764867
294972,266977
909361,316217
89940,539158
942639,212956
319355,510981
227729,700725
637256,1856
846215,792115
539849,781504
290314,376730
600048,514188
47207,12739
500181,17179
32703,127834
149879,250087
746611,67658
514714,363392
267022,600052
188676,318899
602674,278923
669226,221397
814473,819142
74197,588129
697248,461659
521881,383842
544866,290572
783441,213168
587321,926772
615320,816473
650117,734128
617286,173347
561346,96106
210574,928492
470820,839481
970761,589676
76850,740635
498192,500392
247171,88023
325576,957793
500555,766500
200187,824855
659256,905573
253003,292121
77478,990638
504426,541715
516759,172926
146981,430609
878675,315493
123749,241066
474516,448383
611781,953105
330606,444746
23456,922820
364884,183852
391245,53746
150636,509930
534557,372604
283498,469703
238789,389824
898094,18956
388979,899036
961153,414391
669220,937703
712486,798006
165691,301498
139947,13300
645929,507120
230357,722967
399779,533141
989811,768047
830376,366026
802399,274622
727192,967740
65349,58595
495160,22784
666173,502530
965144,450683
936372,481435
172851,886682
467670,488911
128642,617871
471424,274384
465409,365098
21491,520140
10878,792458
971754,495440
7348,506361
867253,789591
248240,27964
270072,446266
994993,885384
816388,282239
171411,262359
14519,686183
514278,991553
971870,518339
945952,632686
196021,81880
234524,17177
612707,976269
561227,867802
991789,758120
539121,368825
935152,702680
548227,823515
999692,694566
756899,124752
187509,665569
169908,485161
848141,915275
706503,232408
429125,245257
681202,506873
642841,228143
915422,446357
326566,735505
215785,848752
242130,649056
374898,783676
463208,339083
433501,783
652389,540332
29800,586515
357950,291267
555911,848978
688644,928022
806973,450508
285696,456952
880347,421613
558346,417693
369543,216731
117286,279353
631953,314734
715864,775944
333756,31593
747568,752851
475664,380588
541244,46274
333516,616235
517417,976968
431196,557471
485501,414773
719003,623635
897850,267144
895503,456023
320537,670977
130825,191377
986777,724254
589954,89886
213184,392920
109792,264993
143191,57737
114141,854497
945318,157193
260676,366974
160963,301969
479865,815509
978225,59137
608181,284093
960769,680535
326587,465765
236376,41238
125748,965687
284825,737548
344957,820003
374929,987368
83516,671640
678841,256764
291169,809644
69275,707596
611372,278894
310975,935365
774065,197502
338867,897831
695549,704287
128092,135573
430374,912967
358659,277053
171330,799307
464286,563797
278253,541008
995357,421788
184554,546105
217599,299240
139663,321107
848658,618427
396091,11661
91133,145365
284319,130364
314539,458901
53826,718612
33800,620176
664534,924015
662241,860150
973452,202029
838744,249484
565436,932140
485082,391743
373491,513316
591346,389110
765079,742346
522217,479770
173467,7166
959111,661707
348367,917136
901969,196761
669369,476272
414012,783779
659403,94543
905091,464662
634436,631347
766359,686522
592054,798050
532048,79948
56168,198077
764879,405762
380619,97472
754282,605801
243977,795345
856273,590247
576755,316463
729202,869259
636857,55617
331279,304917
434608,574034
924019,247965
562985,150237
845940,636408
732959,903951
706549,769033
271580,297814
311727,290333
249900,753712
225107,546801
963875,777654
573902,625230
48713,23896
96583,805197
202851,614241
805391,17414
645251,597856
658495,801427
312831,696381
928991,620679
681325,313743
751328,292900
334144,725536
945353,728959
684869,725884
778682,353460
78530,218729
967652,753081
9988,144062
532036,89282
903331,642293
303183,99701
925024,812148
871914,993310
845062,464582
430043,981452
999691,86647
267616,654510
385044,244147
704765,694987
757698,661192
633931,119743
329512,109857
744317,466780
694376,830653
895635,504646
539566,770681
204431,544083
803382,174313
269185,316457
679013,428174
320673,315363
565441,10633
893423,960130
984080,206048
909692,494398
102234,119517
302509,951999
645245,93911
9831,931794
533873,43815
940770,578621
716875,857889
996957,979733
968383,433693
530875,250005
712981,499325
935151,651264
69790,126978
335394,579880
664283,282982
392279,191369
435197,461196
231547,41145
860796,992200
800812,713603
821602,854254
523929,37770
547086,563913
667021,330553
780307,64584
692367,524436
806429,26698
508434,860972
995548,882239
607251,244564
639775,172334
931453,780381
943775,274935
692572,153956
209280,519752
480836,787095
975955,142056
560426,990090
498119,348851
482015,867744
400950,227024
877002,665697
817306,467383
593049,727118
332882,470697
971242,811597
834898,864015
994632,185236
507750,746565
345516,617818
847938,152647
679286,507828
549600,493056
99055,886034
634168,690677
186439,987839
473168,915581
573136,585511
486578,298134
304060,906132
762474,547704
405018,112691
782529,609386
653501,105689
4867,402743
923455,994605
359529,515546
982746,458271
901568,962615
457302,582207
301273,799118
752292,873965
366028,410516
239969,8580
424457,565003
136026,674732
567032,426261
69392,916917
954175,829422
997282,332950
130187,369385
342315,88256
564163,45375
644368,642605
397832,576775
676962,811603
997621,861835
314460,947056
33305,259638
448136,54477
887333,44744
79731,163517
95096,998235
924804,263403
380093,655552
396153,218230
83914,330397
405477,663950
558857,435734
433122,752610
347666,740426
558356,651841
420974,88704
646425,722838
958167,637155
945541,529286
928771,194489
542961,424487
768504,855704
123598,344767
822981,62980
726438,816288
554555,797651
772634,522088
938686,360220
696058,563944
495367,337309
467928,345414
25060,68370
646762,830194
162608,56046
330849,733338
421352,464115
881921,480180
278733,48812
924001,942891
997518,56180
740470,722145
688286,76340
39541,954624
611968,632374
500730,61326
72377,644404
304957,431549
287904,82633
692938,674493
466645,750729
41283,57546
33311,686549
527609,523236
203630,640804
741599,735346
459825,799537
984138,252609
263484,606321
592483,913969
131151,496865
26983,645479
467488,528027
748639,382117
815291,122116
472450,180084
534050,600237
37256,282067
88092,848893
939409,720579
306919,254479
956705,885084
254754,230313
786138,530403
707112,568601
662643,154146
228641,135326
637088,272720
351515,351029
617824,216782
810930,720455
622964,456036
204134,474774
263916,402029
135844,753799
932550,404196
36548,952540
979694,655668
46685,252285
9633,892134
309388,101554
252281,167707
490192,632902
908339,985729
571435,141314
793606,529464
312260,972305
866730,685219
902032,252965
140728,384173
449228,958881
454829,259244
377967,152048
976229,590798
25335,664133
68459,397989
566954,482182
22688,695185
209544,577310
630288,796131
582297,262820
587724,624292
241501,361162
826536,770802
318381,694754
412934,501462
662119,41399
329186,405948
734388,526558
841631,874781
989765,458818
973246,385277
848472,448738
501893,153277
139583,460742
563820,328199
190786,796871
348485,933090
377176,810400
459108,421113
521547,317892
926349,601707
797367,621914
285338,596242
911223,765969
289607,435135
726418,673908
20841,987640
38334,98958
809127,934583
441579,269506
844868,668479
85195,420342
296710,556073
455945,701064
771914,69934
395401,428671
474017,616497
421600,154483
390416,130282
744843,967693
25513,384885
684705,691577
711337,922389
645590,316331
571992,451910
759098,981375
345184,835814
991401,838721
546143,913754
368064,865153
647764,349501
547006,68541
572359,894672
542389,297525
860001,274842
672515,217915
792501,344438
30099,158416
359008,683556
628720,434687
640178,630305
925421,443834
114422,441145
938112,705919
909982,152861
538588,723419
965380,747598
218929,134728
20970,191055
401655,139094
833979,603108
658204,703711
85869,325785
83699,230956
925065,669779
114184,527340
206058,281913
833533,548811
240951,829788
200457,899289
823255,708677
910912,838266
946613,164984
89386,865891
442645,38867
320344,823573
413465,608755
91149,50271
117447,286940
82512,602287
118972,786272
553583,623024
41318,714952
197974,280123
989631,153899
695717,401393
756156,872983
972125,618243
845846,629158
46053,835528
682756,841045
521549,171350
347668,168466
31588,158269
76847,16636
293623,853054
850637,299064
807588,714817
94024,685631
997569,331356
931648,227255
182638,547350
815817,435641
129836,624640
488989,112543
637913,937209
29229,363247
639978,489098
856441,70414
953423,934456
674038,879711
187960,725464
128923,535645
700427,830695
555234,515881
166189,378782
111868,471533
211905,11233
960195,138064
74373,932534
712515,499245
17578,645113
782182,453893
94358,39819
825673,353057
224550,554585
