S_i,A_i
507789,379302
346900,301944
856926,297328
793439,721996
367959,214592
677663,448766
807020,338230
89469,788479
604285,46410
220164,153051
175139,25097
788098,22563
155859,471435
130055,875828
909045,880853
142932,388510
959971,127805
219169,406308
988067,648266
701475,223271
571856,627344
769133,61580
452074,438272
435366,130862
430157,431682
269592,947783
61358,854244
593521,508075
156737,501175
737308,485085
586371,199771
291856,181505
932707,147394
148569,980293
396242,460775
45540,712107
239111,569737
557521,309720
328983,771002
193128,746997
346210,137921
596066,897859
187912,391790
87988,327479
184593,19775
138400,350883
783276,449137
683996,308876
976655,605282
157999,983960
929953,805859
171427,911745
50708,384546
873264,156521
756273,212811
359575,378958
509204,602271
958977,263699
8439,215717
547295,952463
725981,781117
998419,49741
169332,63855
159105,932377
709735,415203
29661,350196
984734,915497
320447,500112
21676,324549
865313,792348
367008,127815
566463,255836
757595,519716
695728,808437
162813,294240
405815,575486
679275,268171
259368,747402
55258,997143
748549,132221
823893,931804
504647,951999
562046,455679
240744,147648
172375,998177
772697,916818
684067,221802
315129,857330
204088,184109
446918,389695
167980,840155
530049,647641
576898,471413
312685,856396
431730,982382
345171,711340
105817,914207
945047,160512
179639,100912
144657,83220
767406,47621
309464,687247
464743,395220
875705,185066
786907,947502
534836,543858
731089,246196
562806,421777
487032,536412
583879,317183
89221,556708
431132,460418
455445,359332
584402,371142
896167,950520
174521,366635
87440,401533
941307,789643
627934,365091
28964,103735
645021,733585
214543,672114
346492,167795
446309,924100
118731,879068
62353,287803
414011,966235
957338,571268
270933,183893
576459,450250
349554,137638
310787,136360
580221,145964
834717,56592
761470,415697
984910,637148
732919,92941
819604,98974
235125,485217
764642,470452
692600,78037
332427,157897
759628,683856
998708,369165
766090,888343
467606,758850
599459,487301
968611,307903
27788,21975
390216,938001
996857,581048
897004,46230
847937,58713
610464,50707
351947,964717
405724,433198
432077,286760
654148,654570
553788,757022
489232,614146
745060,898641
740382,76747
149222,480994
142337,809812
395450,845257
724181,343526
81457,797823
410350,171201
23307,240792
