S_i,A_i
520581,111436
22519,593223
454588,568855
597086,500175
62376,516072
979522,359723
561252,617606
679882,314869
320673,50693
776665,594224
861747,768190
218237,663543
216308,775929
698731,478281
354033,425264
383344,993646
194327,246866
861392,191084
193914,290317
60861,708530
532561,632427
614354,578844
662024,623815
401494,675293
156547,976190
542782,957579
143679,165602
572339,73492
939005,629172
251776,862471
590146,234580
84306,147272
539111,940914
338234,810444
604598,337364
848571,802884
757383,175344
849858,189896
416971,650033
736363,768235
175041,262485
514140,270830
740625,133371
451554,816729
796010,945786
628027,407125
837136,79391
964110,729316
98802,151292
577763,887721
135376,743592
590642,3790
443922,456042
172486,306436
820156,36591
624970,337980
253311,808281
418499,712836
674123,657536
493298,297102
245442,668434
805779,810797
371252,790395
545714,231970
815354,334697
364897,278573
324223,540559
50828,383815
673781,436538
35489,993382
716107,568248
443019,126849
566286,725007
127958,265276
52112,25882
867793,566006
60692,614147
411825,857171
275423,233323
136389,710275
866353,897728
716594,358901
383888,411426
26724,214685
851126,143586
34065,49450
279033,950802
755523,777978
911973,523513
282316,604965
584502,34984
457984,986407
188057,321721
940588,846876
642745,901436
919140,624194
38732,680555
392993,148074
36817,72002
320306,256501
4418,16031
857346,45624
765059,61792
815040,140940
586024,884853
409251,464633
571109,204593
120325,347277
111280,925170
346928,80825
327272,231824
615964,824669
967713,761586
247746,943401
967182,168325
965672,423135
694346,692816
967819,298975
225692,574809
835248,980393
304169,428624
324997,633721
882930,450878
135161,423195
65647,505101
366152,911134
558720,547214
837121,217144
976995,961615
540647,926802
579230,979681
524867,553326
117610,417933
403864,444018
454983,329580
890864,472995
624397,899961
52085,757882
402691,319452
64687,417561
171742,299391
249634,68382
61116,354307
823859,318915
298743,683798
283255,132961
622517,494761
840529,582881
125817,983113
926771,86835
489542,448099
48183,368617
251636,996675
385660,53295
165499,283481
599023,840725
940940,509996
132096,410792
949458,218925
478264,278639
557771,791922
440868,802252
742644,796524
771307,924640
814070,213001
640755,582455
673374,990234
36041,271759
371777,69354
502051,572713
410902,993305
254427,61219
3491,982741
329011,544721
196697,14680
74984,292630
103414,551641
323570,862333
329187,220911
589757,522401
460860,161743
911219,682840
940922,240519
786648,991639
312875,112682
414280,67092
452219,148836
429642,648692
308537,272477
934201,531844
110565,955565
500941,666243
186735,140955
484520,930376
116132,298962
246231,387850
136821,781929
941086,35639
413822,9475
261613,748757
11472,858241
381721,110764
687765,878107
538344,699253
929008,230425
784470,257617
414355,305251
55060,578462
615010,80677
342015,471508
719935,608724
19875,314907
945644,302249
541676,40283
981565,76508
687149,759882
715989,412222
502216,236999
613292,75841
879271,472958
738630,719615
735590,894603
429586,220444
46600,103085
272026,917887
923142,194892
655093,701079
162776,489186
846625,159546
573680,432310
429961,151039
521743,485807
759506,433934
776036,534719
508134,977351
723812,235506
447424,786722
839259,773603
402582,204773
942800,814005
181931,481776
676386,961431
268870,510368
443538,639804
734258,677391
618180,319141
859827,7602
354552,552774
438196,414057
967933,145911
286381,954435
501373,516089
445642,927150
25848,780900
656612,235569
396927,184601
657260,161557
463948,274630
124928,730678
917093,434488
745076,6834
591128,804773
833087,744616
325677,370503
735689,95774
598771,72736
842923,886493
623432,157672
159910,563124
775206,903900
234511,148928
774219,267705
281791,931344
995006,408247
947548,504322
778896,634342
647348,416718
101842,931717
643396,997417
266614,497123
588492,120441
238588,851101
168555,711298
469422,509731
774747,929769
26179,261002
184698,725960
592187,120719
304796,10855
964805,441846
385264,621376
329843,15604
830882,385426
791468,512687
370516,406992
563101,619396
528698,112004
417106,64900
861852,198866
878207,745387
952188,122963
456122,27721
150539,105654
770285,867344
447201,527918
700264,410939
395107,841021
988737,756658
544699,370016
490523,306908
597363,358809
369387,690381
916625,785751
553062,728669
689615,232568
522794,936630
853654,582656
520781,103069
559623,941920
991643,630606
72933,359716
125216,319883
871254,955734
401952,68440
56270,59121
468611,121866
150414,944361
413336,95530
186229,831843
733842,383364
422337,548627
639574,642477
692554,973299
396567,651391
788345,771693
661949,829659
464802,642415
175863,711773
145595,735084
674835,61731
964230,768053
522642,625885
7187,709394
31729,917121
875241,722689
25538,844209
845953,142419
588311,956381
356782,608959
658450,453522
195892,12758
467018,342319
90285,81528
60179,462823
188468,628439
5438,270217
19238,893102
990936,303584
77610,785711
173146,76093
100191,522756
911965,640409
22914,326031
352868,600016
832801,989466
161392,790484
208272,282171
861264,809639
625362,330526
189052,130389
36908,901540
528114,199844
812038,250287
195407,942011
588920,123273
621826,961496
709321,456254
952432,802718
94547,872499
617002,743311
382887,455782
230918,428614
149928,46515
713689,61185
729325,134733
